,band,best5
0,A1,20
1,A1,19
2,A3,20
3,A3,22
4,A1,21
5,A3,20
6,A2,20
7,A1,22
8,A3,23
9,A2,22
10,A2,21
11,A1,20
12,A3,21
13,A1,19
14,A3,21
15,A2,19
16,A3,20
17,A2,20
18,A1,20
19,A3,20
20,A2,21
21,A1,21
22,A2,20
23,C8,20
24,A1,19
25,B4,22
26,A3,21
27,A2,22
28,A2,20
29,A3,20
30,A3,22
31,A3,20
32,A1,22
33,B5,22
34,E18,20
35,D11,20
36,B5,21
37,A1,26
38,A1,23
39,B5,21
40,A2,24
41,B6,21
42,E18,24
43,A3,23
44,A3,23
45,A1,25
46,A1,23
47,B4,23
48,C7,21
49,A1,26
50,C8,20
51,C10,21
52,B6,22
53,C7,20
54,D13,21
55,B4,21
56,B6,19
57,B4,20
58,B4,21
59,A2,21
60,D12,21
61,A2,21
62,B5,23
63,A3,23
64,A3,23
65,A2,22
66,A2,21
67,A1,21
68,A2,22
69,A2,22
70,A3,22
71,B6,21
72,A2,22
73,A1,21
74,A2,22
75,A1,24
76,A2,22
77,A3,21
78,A1,20
79,A1,21
80,A1,21
81,A1,25
82,A2,23
83,A1,21
84,A1,22
85,A1,23
86,B4,23
87,A3,23
88,A2,21
89,A2,22
90,A2,21
91,A3,23
92,A1,21
93,A2,22
94,A1,21
95,A2,23
96,A3,24
97,A1,24
98,A1,23
99,A1,22
100,A1,22
101,A1,19
102,A2,20
103,C7,19
104,D12,20
105,A1,21
