,band,best5
0,A2,22
1,A3,22
2,A2,22
3,A2,22
4,A1,22
5,A1,24
6,B4,22
7,A2,24
8,A2,22
9,A3,22
10,A2,22
11,B5,20
12,A2,26
13,A1,22
14,A2,21
15,A2,22
16,A1,23
17,A1,21
18,A3,31
19,A1,21
20,A2,22
21,A2,23
22,B6,20
23,A3,19
24,A1,24
25,A3,20
26,A3,20
27,B5,21
28,B6,21
29,A3,15
30,A2,20
31,B4,21
32,B4,19
33,A1,23
34,E20,21
35,C9,21
36,A3,21
37,C8,20
38,B5,21
39,E18,20
40,C8,21
41,A2,23
42,A2,21
43,D14,20
44,E19,20
45,C9,22
46,C7,21
47,E16,20
48,A2,21
49,B6,21
50,B6,21
51,C9,21
52,B5,20
53,B5,20
54,A3,20
55,A2,21
56,C8,22
57,B5,22
58,A2,24
59,A1,22
60,B6,21
61,A1,20
62,B6,21
63,B5,21
64,A3,23
65,A3,21
66,C9,22
67,A2,21
68,B4,20
69,A3,20
70,E20,20
71,B5,21
72,B6,22
73,A1,23
74,C7,20
75,E17,21
76,A2,21
77,A3,22
78,A2,21
79,B4,20
80,A3,20
81,A2,20
82,E16,20
83,E18,21
84,D14,21
85,B5,20
86,A2,21
87,B5,20
88,A3,19
89,A2,21
90,A3,20
91,B5,20
92,A1,19
93,B4,20
94,B4,19
95,A3,20
96,A3,20
97,B5,20
98,B6,20
99,A2,20
100,B4,21
101,A3,20
102,E16,24
103,C8,19
104,B5,20
105,C10,20
106,E17,21
107,A1,22
108,A2,23
109,A3,22
110,A2,22
111,A3,24
112,A2,23
113,A2,22
114,A1,22
115,A2,22
116,A2,22
117,A2,24
118,A2,25
119,A2,25
120,A2,24
121,A2,25
122,A1,24
123,A3,21
124,A2,23
125,A1,21
126,A3,22
127,A2,25
128,A1,24
129,A1,24
130,A1,24
131,A1,25
132,A2,25
133,A1,25
134,A1,25
135,A1,23
136,A2,23
137,A3,26
138,A1,24
139,A2,25
140,A1,29
141,A1,25
142,A2,26
143,A2,24
144,A1,25
145,A2,27
146,A1,27
147,A2,25
148,A1,24
149,A3,26
150,A1,26
151,A1,29
152,A1,24
153,A1,25
154,A2,25
155,A1,25
156,A1,23
157,A1,24
158,A2,24
159,A2,24
160,A1,22
161,A2,22
162,A2,23
