,band,best5
0,A3,21
1,A1,21
2,A3,23
3,A2,21
4,A1,22
5,B6,21
6,A1,23
7,A2,22
8,A1,21
9,A2,21
10,A2,22
11,A2,21
12,A1,23
13,A1,25
14,A1,23
15,A2,21
16,A2,21
17,A2,22
18,A1,20
19,A1,21
20,A1,24
21,A1,22
22,A3,20
23,A3,20
24,A2,19
25,A2,20
26,A1,20
27,A3,20
28,B5,20
29,A3,19
30,A1,19
31,A3,19
32,B4,20
33,C7,25
34,C8,20
35,B5,20
36,B5,20
37,C8,19
38,B4,21
39,A1,21
40,A2,20
41,A2,20
42,A3,20
43,E18,20
44,C9,25
45,B4,21
46,A1,22
47,A3,21
48,B4,20
49,A1,19
50,A2,21
51,C7,21
52,A3,21
53,B4,21
54,A3,21
55,A1,23
56,A1,23
57,A3,29
58,B4,20
59,A1,20
60,A1,24
61,A1,24
62,A2,24
63,A3,21
64,A2,20
65,B5,23
66,A2,21
67,A1,25
68,A3,22
69,A1,23
70,A1,21
71,A3,21
72,A1,21
73,A1,22
74,A2,20
75,C8,20
76,A1,23
77,B5,20
78,A1,20
79,A1,22
80,A3,20
81,A2,21
82,A3,22
83,A2,21
84,E15,18
85,A3,19
86,A2,20
87,A3,19
88,A1,20
89,B5,20
90,B4,20
91,B5,19
92,A3,18
93,A2,21
94,D12,22
95,C8,20
96,D12,20
97,A2,23
98,A2,20
99,A1,22
100,A1,18
101,A2,19
102,B4,20
103,A3,22
104,A3,19
105,A2,21
106,B5,18
107,A1,20
108,A2,32
109,A1,19
110,A2,19
111,B5,19
112,A2,19
113,A3,19
114,A1,23
115,D12,21
116,A3,19
117,A2,19
118,A1,22
119,A2,21
120,A2,23
121,A1,22
122,A3,22
123,A2,22
124,A1,22
125,A1,22
126,A1,23
127,A2,23
128,A2,25
129,A1,22
130,A2,22
131,A1,23
132,A1,23
133,A1,23
134,A1,22
135,A3,22
136,A2,21
137,A2,22
138,A1,22
139,A1,22
140,A1,25
141,A2,25
142,A1,23
143,A1,24
144,A1,24
145,A1,23
146,A2,22
147,A1,22
148,B6,21
149,A2,22
150,A2,21
151,A1,21
152,A1,23
153,A2,24
154,A1,26
155,A2,22
156,A1,24
157,A1,24
158,A2,21
159,A1,27
160,A2,26
161,A1,25
162,A3,31
163,A2,26
164,A2,26
165,A2,27
166,A1,24
167,A1,26
168,A1,30
169,A1,25
170,A1,29
171,A3,24
172,A1,26
173,A1,23
174,A2,23
175,A1,23
176,A2,23
177,A1,22
178,A2,22
179,A2,22
