,band,best5
0,A3,22
1,A3,22
2,A3,22
3,A2,23
4,A1,24
5,A2,24
6,A2,25
7,A2,22
8,A3,24
9,B6,24
10,A2,23
11,B4,23
12,A3,21
13,A1,21
14,C10,21
15,A1,21
16,A3,21
17,A1,21
18,A1,22
19,A1,20
20,A3,20
21,E15,22
22,A1,19
23,A3,20
24,B5,20
25,A1,22
26,B5,20
27,A2,19
28,A2,19
29,A2,20
30,A3,19
31,A2,18
32,A3,18
33,A1,21
34,A1,19
35,A2,19
36,D12,20
37,D11,19
38,A2,18
39,B4,18
40,A2,19
41,C10,18
42,E20,20
43,A1,20
44,A1,20
45,A3,20
46,A3,21
47,A1,21
48,A1,21
49,A1,26
50,A1,23
51,A1,24
52,E15,25
53,A1,19
54,A1,22
55,A1,22
56,D12,23
57,E16,20
58,A1,23
59,A1,23
60,A1,23
61,B4,20
62,A3,20
63,A2,21
64,B4,22
65,A2,18
66,A2,24
67,A1,24
68,A3,20
69,B4,18
70,A1,20
71,A1,19
72,C8,19
73,A2,18
74,D11,20
75,B6,19
76,B6,19
77,C8,20
78,B6,20
79,A2,19
80,A1,20
81,A1,21
82,A3,19
83,C10,19
84,C9,17
85,A1,18
86,A2,19
87,C8,19
88,A2,17
89,A2,23
90,A2,21
91,A2,22
92,A1,22
93,A2,21
94,A1,20
95,A2,23
96,A1,21
97,A1,21
98,A2,23
99,A2,22
100,A1,20
101,A2,20
102,A2,20
103,A2,21
104,A2,24
105,A2,22
106,A1,23
107,A1,21
108,A1,24
109,A1,26
110,A3,26
111,A1,25
112,A2,25
113,A1,24
114,A1,24
115,A1,24
116,A1,23
117,A2,25
118,A3,26
119,A1,26
120,A1,25
121,A1,24
122,A2,28
123,A1,25
124,A2,26
125,A1,26
126,A1,25
127,A1,23
128,A2,22
129,B5,23
130,A1,23
131,A1,23
132,A1,24
133,A1,22
134,A1,25
